id,year- I watched,name,year,country,rating revise
1,2023,Minions: The rise of Gru,2022,the United States,7
2,2023,Barbie,2023,the United States,10
3,2023,Past lives,2023,the United States,9
4,2023,Everything everywhere all at once,2022,the United States,7
5,2023,Forgotten,2017,South Korea,6
6,2023,The sun also rises,2007,China mainland,6
7,2023,Kisi Ka Bhai Kisi Ki Jaan,2022,India,4
8,2023,The whale,2022,the United States,10
9,2023,To all the boys: P.S. I still love you,2020,the United States,6
10,2023,Home alone,1990,the United States,10
11,2023,To all the boys I've loved before,2018,the United States,5
12,2022,Joyland,2022,Pakistan,10
13,2022,I remember,2022,South Korea,6
14,2022,Myth of love,2021,China mainland,10
15,2022,Hunt,2022,South Korea,8
16,2022,Lady Chatterley's lover,2022,the United States,6
17,2022,Confidential Assignment 2: International,2022,South Korea,6
18,2022,Midnight runner,2017,South Korea,8
19,2022,Decision to leave,2022,South Korea,10
20,2022,Incantation,2022,China Taiwan,6
21,2022,Hothe United Statese of Gucci,2021,the United States,8
22,2022,Taxi driver,1976,the United States,8
23,2022,Source code,2011,the United States,10
24,2022,Life of Pi,2012,the United States,10
25,2022,The reader,2008,the United States,10
26,2022,Marriage story,2019,the United States,10
27,2022,John Wick,2014,the United States,7
28,2022,Turning red,2022,the United States,10
29,2022,American girl,2021,China Taiwan,6
30,2022,Witch : Part 1. The Subversion,2018,South Korea,8
31,2021,Don't look up,2021,the United States,8
32,2021,The graduate,1967,the United States,8
33,2021,Spider man: no way home,2021,the United States,6
34,2021,Spirited Away,2001,Japan,10
35,2021,My best friends's wedding,1997,the United States,6
36,2021,The black widow,2021,the United States,8
37,2021,A sun,2019,China Taiwan,10
38,2021,The book of fish,2021,South Korea,10
39,2021,Druk,2020,Denmark,8
40,2021,Pieta,2012,South Korea,8
41,2021,Moonlit winter,2019,South Korea,10
42,2021,Goodbye Mother,2019,Vietnam,8
43,2021,Freier fall,2013,Germany,10
44,2021,Oasis,2002,South Korea,10
45,2021,Wet season,2019,Singapore,8
46,2021,Lan Yu,2001,Hong Kong,10
47,2021,Green snake,1993,Hong Kong,10
48,2021,Eternal summer,2006,China Taiwan,8
49,2021,Dracula,1992,the United States,8
50,2021,Saturday fiction,2019,China mainland,10
51,2021,The man from nowhere,2010,South Korea,10
52,2021,Avatar,2009,the United States,10
53,2021,Dial M for murder,1954,the United States,10
54,2021,Identity,2003,the United States,10
55,2021,Nomadland,2020,the United States,10
56,2021,Ciao,2008,the United States,8
57,2021,Brotherhood,2004,South Korea,7
58,2021,The devil all the time,2020,the United States,7
59,2021,Merry Chirstmas Mr.Lawrence,1983,Japan,7
60,2021,Conte dete,1996,France,8
61,2021,Conte de printemps,1990,France,8
62,2021,Classmates Minthe United States,2020,China Taiwan,8
63,2021,Tracing her shadow,2020,China mainland,7
64,2021,Rope,1948,the United States,8
65,2021,North by northwest,1959,the United States,8
66,2021,"Hi, mom",2021,China mainland,8
67,2021,The reunions,2020,China mainland,8
68,2021,Promising young woman,2020,the United States,8
69,2021,Soul,2020,the United States,8
70,2021,Paprika,2006,Japan,6
71,2021,Minari,2020,the United States,6
72,2021,Detective Chinatown 2,2018,China mainland,6
